depth,compiler,nbr_test,mean_time,nbr_nodes,id
    1,              clang++16 O3,         10,    0.0000050068,          7,      final
    2,              clang++16 O3,         10,    0.0000031471,         20,      final
    3,              clang++16 O3,         10,    0.0000041485,         68,      final
    4,              clang++16 O3,         10,    0.0000100851,        165,      final
    5,              clang++16 O3,         10,    0.0000284195,        928,      final
    6,              clang++16 O3,         10,    0.0000486135,       1302,      final
    7,              clang++16 O3,         10,    0.0003877640,       8943,      final
    8,              clang++16 O3,         10,    0.0006176949,      12285,      final
    9,              clang++16 O3,         10,    0.0018583298,      35815,      final
   10,              clang++16 O3,         10,    0.0046158075,      84124,      final
   11,              clang++16 O3,         10,    0.0151138783,     271101,      final
   12,              clang++16 O3,         10,    0.0517259836,     855538,      final
   13,              clang++16 O3,         10,    0.1227619648,    1985409,      final
   14,              clang++16 O3,         10,    0.3971808195,    6067176,      final
   15,              clang++16 O3,         10,    0.9570428371,   14183885,      final
   16,              clang++16 O3,         10,    2.4964909554,   31928593,      final
   17,              clang++16 O3,         10,    8.0053206205,   95157086,      final
   18,              clang++16 O3,         10,   18.3607821703,  205710344,      final
    1,              clang++16 O3,         10,    0.0000047922,          7,          1
    2,              clang++16 O3,         10,    0.0000036001,         20,          1
    3,              clang++16 O3,         10,    0.0000043154,         75,          1
    4,              clang++16 O3,         10,    0.0000068665,        180,          1
    5,              clang++16 O3,         10,    0.0000277042,       1084,          1
    6,              clang++16 O3,         10,    0.0000511408,       1443,          1
    7,              clang++16 O3,         10,    0.0004176617,      10508,          1
    8,              clang++16 O3,         10,    0.0007105827,      15173,          1
    9,              clang++16 O3,         10,    0.0019803047,      38676,          1
   10,              clang++16 O3,         10,    0.0049891233,      94005,          1
   11,              clang++16 O3,         10,    0.0159126282,     294253,          1
   12,              clang++16 O3,         10,    0.0522377253,     868728,          1
   13,              clang++16 O3,         10,    0.1476717710,    2381529,          1
   14,              clang++16 O3,         10,    0.4560662985,    6792739,          1
   15,              clang++16 O3,         10,    1.4840518951,   20877595,          1
   16,              clang++16 O3,         10,    2.9253718615,   35180630,          1
   17,              clang++16 O3,         10,   10.0126167059,  113969528,          1
   18,              clang++16 O3,         10,   18.9631397009,  212526632,          1
