    1,       g++ 12.2.1 20230121,       1000,        0.000004,    12584c5
    2,       g++ 12.2.1 20230121,       1000,        0.000010,    12584c5
    3,       g++ 12.2.1 20230121,       1000,        0.000052,    12584c5
    4,       g++ 12.2.1 20230121,       1000,        0.000353,    12584c5
    5,       g++ 12.2.1 20230121,       1000,        0.002515,    12584c5
    6,       g++ 12.2.1 20230121,       1000,        0.022925,    12584c5
    7,       g++ 12.2.1 20230121,       1000,        0.192661,    12584c5
    8,       g++ 12.2.1 20230121,       1000,        1.316839,    12584c5
    9,       g++ 12.2.1 20230121,       1000,        8.138562,    12584c5
    1,    g++ 12.2.1 20230121 O3,       1000,        0.000002,    12584c5
    2,    g++ 12.2.1 20230121 O3,       1000,        0.000004,    12584c5
    3,    g++ 12.2.1 20230121 O3,       1000,        0.000017,    12584c5
    4,    g++ 12.2.1 20230121 O3,       1000,        0.000121,    12584c5
    5,    g++ 12.2.1 20230121 O3,       1000,        0.000848,    12584c5
    6,    g++ 12.2.1 20230121 O3,       1000,        0.005878,    12584c5
    7,    g++ 12.2.1 20230121 O3,       1000,        0.049827,    12584c5
    8,    g++ 12.2.1 20230121 O3,       1000,        0.361190,    12584c5
    9,    g++ 12.2.1 20230121 O3,       1000,        2.467449,    12584c5
    1,            clang++ 14.0.6,       1000,        0.000002,    12584c5
    2,            clang++ 14.0.6,       1000,        0.000008,    12584c5
    3,            clang++ 14.0.6,       1000,        0.000050,    12584c5
    4,            clang++ 14.0.6,       1000,        0.000359,    12584c5
    5,            clang++ 14.0.6,       1000,        0.002412,    12584c5
    6,            clang++ 14.0.6,       1000,        0.017455,    12584c5
    7,            clang++ 14.0.6,       1000,        0.151350,    12584c5
    8,            clang++ 14.0.6,       1000,        1.092494,    12584c5
    9,            clang++ 14.0.6,       1000,        7.355495,    12584c5
    1,         clang++ 14.0.6 O3,       1000,        0.000001,    12584c5
    2,         clang++ 14.0.6 O3,       1000,        0.000003,    12584c5
    3,         clang++ 14.0.6 O3,       1000,        0.000027,    12584c5
    4,         clang++ 14.0.6 O3,       1000,        0.000152,    12584c5
    5,         clang++ 14.0.6 O3,       1000,        0.000951,    12584c5
    6,         clang++ 14.0.6 O3,       1000,        0.006654,    12584c5
    7,         clang++ 14.0.6 O3,       1000,        0.045832,    12584c5
    8,         clang++ 14.0.6 O3,       1000,        0.336686,    12584c5
    9,         clang++ 14.0.6 O3,       1000,        2.310420,    12584c5
    1,            clang++ 15.0.7,       1000,        0.000003,    12584c5
    2,            clang++ 15.0.7,       1000,        0.000008,    12584c5
    3,            clang++ 15.0.7,       1000,        0.000053,    12584c5
    4,            clang++ 15.0.7,       1000,        0.000364,    12584c5
    5,            clang++ 15.0.7,       1000,        0.002581,    12584c5
    6,            clang++ 15.0.7,       1000,        0.019733,    12584c5
    7,            clang++ 15.0.7,       1000,        0.156427,    12584c5
    8,            clang++ 15.0.7,       1000,        1.107628,    12584c5
    9,            clang++ 15.0.7,       1000,        7.664677,    12584c5
    1,         clang++ 15.0.7 O3,       1000,        0.000001,    12584c5
    2,         clang++ 15.0.7 O3,       1000,        0.000004,    12584c5
    3,         clang++ 15.0.7 O3,       1000,        0.000017,    12584c5
    4,         clang++ 15.0.7 O3,       1000,        0.000118,    12584c5
    5,         clang++ 15.0.7 O3,       1000,        0.000817,    12584c5
    6,         clang++ 15.0.7 O3,       1000,        0.005731,    12584c5
    7,         clang++ 15.0.7 O3,       1000,        0.044496,    12584c5
    8,         clang++ 15.0.7 O3,       1000,        0.336278,    12584c5
    9,         clang++ 15.0.7 O3,       1000,        2.364213,    12584c5
    1,            clang++ 16.0.0,       1000,        0.000003,    12584c5
    2,            clang++ 16.0.0,       1000,        0.000008,    12584c5
    3,            clang++ 16.0.0,       1000,        0.000054,    12584c5
    4,            clang++ 16.0.0,       1000,        0.000369,    12584c5
    5,            clang++ 16.0.0,       1000,        0.002602,    12584c5
    6,            clang++ 16.0.0,       1000,        0.019831,    12584c5
    7,            clang++ 16.0.0,       1000,        0.164197,    12584c5
    8,            clang++ 16.0.0,       1000,        1.237554,    12584c5
    9,            clang++ 16.0.0,       1000,        7.857027,    12584c5
    1,         clang++ 16.0.0 O3,       1000,        0.000001,    12584c5
    2,         clang++ 16.0.0 O3,       1000,        0.000003,    12584c5
    3,         clang++ 16.0.0 O3,       1000,        0.000021,    12584c5
    4,         clang++ 16.0.0 O3,       1000,        0.000138,    12584c5
    5,         clang++ 16.0.0 O3,       1000,        0.000891,    12584c5
    6,         clang++ 16.0.0 O3,       1000,        0.006268,    12584c5
    7,         clang++ 16.0.0 O3,       1000,        0.053524,    12584c5
    8,         clang++ 16.0.0 O3,       1000,        0.372246,    12584c5
    9,         clang++ 16.0.0 O3,       1000,        2.700011,    12584c5
